.,DATE,OPEN Px,LAST Px,HIGH Px,LOW Px,VOLUME,DAILY RETURN
Fr,29/12/2017,9.56,9.8,9.8,9.53,10.704M,0.24
Th,28/12/2017,9.56,9.56,9.63,9.51,5.087M,0
We,27/12/2017,9.46,9.55,9.55,9.46,11.664M,0.09
Tu,26/12/2017,9.49,9.47,9.5,9.43,8.958M,-0.02
Fr,22/12/2017,9.48,9.48,9.5,9.46,6.991M,0
Th,21/12/2017,9.5,9.48,9.5,9.41,5.242M,-0.02
We,20/12/2017,9.46,9.5,9.52,9.45,14.098M,0.04
Tu,19/12/2017,9.5,9.49,9.5,9.44,14.097M,-0.01
Mo,18/12/2017,9.5,9.5,9.53,9.42,4.864M,0
Fr,15/12/2017,9.45,9.54,9.68,9.42,12.612M,0.09
Th,14/12/2017,9.26,9.49,9.5,9.25,21.862M,0.23
We,13/12/2017,9.24,9.25,9.27,9.24,12.69M,0.01
Tu,12/12/2017,9.25,9.25,9.26,9.21,22.167M,0
Mo,11/12/2017,9.27,9.25,9.27,9.25,9.894M,-0.02
Fr,8/12/2017,9.26,9.27,9.29,9.24,10.638M,0.01
Th,7/12/2017,9.26,9.27,9.33,9.24,13.092M,0.01
We,6/12/2017,9.35,9.26,9.35,9.23,13.204M,-0.09
Tu,5/12/2017,9.24,9.38,9.38,9.24,10.423M,0.14
Mo,4/12/2017,9.32,9.25,9.45,9.24,14.84M,-0.07
Th,30/11/2017,9.19,9.25,9.28,9.17,62.087M,0.06
We,29/11/2017,9.2,9.2,9.2,9.18,13.496M,0
Tu,28/11/2017,9.23,9.2,9.23,9.16,8.568M,-0.03
Mo,27/11/2017,9.19,9.2,9.21,9.17,4.668M,0.01
Fr,24/11/2017,9.21,9.15,9.23,9.15,25.726M,-0.06
Th,23/11/2017,9.2,9.21,9.24,9.2,2.373M,0.01
We,22/11/2017,9.23,9.21,9.24,9.2,10.283M,-0.02
Tu,21/11/2017,9.21,9.21,9.24,9.2,8.065M,0
Mo,20/11/2017,9.2,9.21,9.22,9.18,6.93M,0.01
Fr,17/11/2017,9.2,9.22,9.25,9.2,7.98M,0.02
Th,16/11/2017,9.2,9.21,9.24,9.11,10.139M,0.01
We,15/11/2017,9.3,9.21,9.38,9.21,11.655M,-0.09
Tu,14/11/2017,9.35,9.34,9.48,9.18,16.879M,-0.01
Mo,13/11/2017,9.18,9.16,9.24,9.16,7.456M,-0.02
Fr,10/11/2017,9.16,9.18,9.39,9.1,10.087M,0.02
Th,9/11/2017,9.15,9.16,9.2,9.11,10.305M,0.01
We,8/11/2017,9.22,9.15,9.23,9.15,6.484M,-0.07
Tu,7/11/2017,9.26,9.25,9.27,9.23,5.265M,-0.01
Mo,6/11/2017,9.24,9.25,9.26,9.24,8.329M,0.01
Fr,3/11/2017,9.25,9.24,9.28,9.2,7.043M,-0.01
Th,2/11/2017,9.21,9.25,9.25,9.19,5.699M,0.04
We,1/11/2017,9.25,9.2,9.26,9.2,4.54M,-0.05
Tu,31/10/2017,9.2,9.25,9.28,9.2,11.073M,0.05
Mo,30/10/2017,9.21,9.24,9.3,9.16,8.846M,0.03
Fr,27/10/2017,9.26,9.23,9.33,9.23,8.118M,-0.03
Th,26/10/2017,9.25,9.24,9.26,9.23,9.823M,-0.01
We,25/10/2017,9.23,9.24,9.26,9.17,7.8M,0.01
Tu,24/10/2017,9.29,9.25,9.29,9.24,9.669M,-0.04
Mo,23/10/2017,9.29,9.24,9.3,9.23,7.853M,-0.05
Fr,20/10/2017,9.35,9.29,9.36,9.27,6.456M,-0.06
Th,19/10/2017,9.4,9.35,9.43,9.35,9.313M,-0.05
Tu,17/10/2017,9.42,9.42,9.48,9.42,6.745M,0
Mo,16/10/2017,9.51,9.46,9.52,9.46,7.602M,-0.05
Fr,13/10/2017,9.55,9.51,9.55,9.5,6.465M,-0.04
Th,12/10/2017,9.55,9.53,9.55,9.52,8.593M,-0.02
We,11/10/2017,9.51,9.55,9.55,9.51,5.258M,0.04
